id,workbook_row,variable,meaning,priority,mode,implementation,evidence_group,mapping,remaining_work
I009,6,Authority.ActiveWriter,"Current mutation class accepted by the board scheduler: None, DAQ, SlowControls, Expert, or DPSInhibit.",Required,Both,contract-pending,authority,No board-side authority/lease/permit/safe-state contract exported,"Establish approved principal/role, lease, DPS admission and physical safe-state contracts; a serialized executor is not authority."
I010,7,Authority.AuthorityLeaseId,"Opaque identifier for the active board-side serialization token, if leases are used.",Required,Both,contract-pending,authority,No board-side authority/lease/permit/safe-state contract exported,"Establish approved principal/role, lease, DPS admission and physical safe-state contracts; a serialized executor is not authority."
I011,8,Authority.AuthorityLeaseExpiresAt,"Expiry of the active board-side serialization token, if leases are used.",Required,Both,contract-pending,authority,No board-side authority/lease/permit/safe-state contract exported,"Establish approved principal/role, lease, DPS admission and physical safe-state contracts; a serialized executor is not authority."
I018,9,Authority.DaqConfigureAllowed,"All applicable SC/DPS permits, external-activity admission rules, and state guards allow a DAQ-role OPC-UA configuration request.",Required,Both,contract-pending,authority,No board-side authority/lease/permit/safe-state contract exported,"Establish approved principal/role, lease, DPS admission and physical safe-state contracts; a serialized executor is not authority."
I025,10,Authority.SafeStateActive,Observed board safe-state postconditions are satisfied; do not infer this from a requested trip or enable bit alone.,Required,Both,contract-pending,authority,No board-side authority/lease/permit/safe-state contract exported,"Establish approved principal/role, lease, DPS admission and physical safe-state contracts; a serialized executor is not authority."
I027,11,Authority.LastOvertakeReason,Reason DAQ authority was removed or superseded by a safe-state/inhibit action.,Required,Both,contract-pending,authority,No board-side authority/lease/permit/safe-state contract exported,"Establish approved principal/role, lease, DPS admission and physical safe-state contracts; a serialized executor is not authority."
I029,12,Command Audit.LastCommandId,Opaque identifier of the latest accepted or rejected mutation.,Required,Both,partial,audit,ServerState.last_configuration_result; executor_request_type/task_id/request_msg_id while busy,"Record every accepted/rejected mutation with stable ID/name/route/correlation and terminal outcome, not only Configure."
I030,13,Command Audit.LastCommandName,Canonical name of the latest mutating request.,Required,Both,partial,audit,ServerState.last_configuration_result; executor_request_type/task_id/request_msg_id while busy,"Record every accepted/rejected mutation with stable ID/name/route/correlation and terminal outcome, not only Configure."
I031,14,Command Audit.LastCommandClass,"DAQ, SC, expert, or protection command class.",Required,Both,contract-pending,audit,No authenticated command-class/requester/authority provenance,Define trusted identity propagation and board enforcement; never label ZMQ routing IDs as authenticated principals.
I032,15,Command Audit.LastCommandRequester,Authenticated user or service identity that requested the mutation.,Required,Both,contract-pending,audit,No authenticated command-class/requester/authority provenance,Define trusted identity propagation and board enforcement; never label ZMQ routing IDs as authenticated principals.
